PROVINCE_CODE,CITY_CODE,DISTRICT_CODE,STANDARD_YEAR_MONTH,WEEKDAY_WEEKEND,GENDER,AGE_GROUP,TIME_SLOT,RESIDENTIAL_POPULATION,WORKING_POPULATION,VISITING_POPULATION
11,11140,11140136,202101,W,F,25,T06,38.67,9.72,7.97
11,11140,11140115,202102,W,F,40,T09,2.79,170.52,62.26
11,11650,11650104,202311,W,F,70,T09,78.11,0.0,72.93
11,11140,11140129,202103,W,M,30,T24,8.96,0.7,4.04
11,11140,11140102,202112,W,F,30,T21,11.14,12.18,36.08
11,11140,11140128,202201,W,M,20,T18,7.09,1.86,48.12
11,11140,11140171,202208,W,M,60,T06,99.58,28.66,61.26
11,11140,11140140,202110,H,F,50,T18,1.95,1.26,2.46
11,11140,11140144,202202,H,M,10,T06,227.01,0.01,68.33
11,11140,11140171,202205,W,M,55,T15,72.5,152.12,115.09
11,11560,11560108,202311,W,F,60,T18,253.16,36.53,93.73
11,11140,11140155,202110,H,M,45,T06,14.56,14.8,35.63
11,11560,11560132,202204,W,F,50,T06,3452.18,435.98,894.64
11,11560,11560113,202305,W,F,60,T21,346.49,23.21,55.51
11,11560,11560131,202308,H,F,30,T15,78.3,8.32,79.64
11,11140,11140114,202202,W,F,60,T21,50.89,5.47,22.52
11,11140,11140143,202208,H,M,15,T24,34.44,0.0,10.99
11,11140,11140139,202209,W,F,65,T12,8.33,13.52,9.69
11,11140,11140128,202308,W,M,60,T18,28.71,8.15,29.0
11,11560,11560105,202309,H,M,20,T21,248.49,64.96,350.39
11,11140,11140125,202112,H,M,65,T24,24.29,2.61,10.36
11,11560,11560105,202101,W,M,70,T15,126.05,12.84,276.48
11,11140,11140153,202110,W,M,70,T15,8.81,0.0,78.15
11,11560,11560108,202106,H,F,55,T12,110.68,34.7,96.11
11,11140,11140141,202204,W,M,60,T15,2.76,15.47,15.5
11,11140,11140158,202211,W,F,25,T12,16.67,207.99,59.48
11,11140,11140115,202207,H,M,10,T09,39.93,0.2,37.62
11,11140,11140163,202309,H,M,20,T18,58.75,16.77,92.7
11,11140,11140126,202309,H,F,35,T18,46.87,15.18,74.16
11,11560,11560102,202107,W,F,55,T18,28.54,8.71,28.22
11,11140,11140157,202112,W,F,25,T15,1.6,26.02,42.61
11,11140,11140163,202109,H,F,60,T15,70.06,22.79,57.99
11,11560,11560101,202307,H,F,40,T06,565.97,35.71,115.33
11,11140,11140171,202203,W,M,65,T12,65.63,50.65,53.51
11,11650,11650106,202207,W,M,25,T24,932.64,33.54,242.83
11,11560,11560134,202111,W,M,25,T24,51.58,4.07,13.26
11,11560,11560128,202104,W,F,25,T09,203.93,428.52,164.16
11,11140,11140166,202312,H,M,35,T15,122.19,39.71,194.15
11,11140,11140103,202105,H,F,55,T09,8.17,28.61,32.78
11,11140,11140159,202207,W,M,30,T06,33.75,31.77,70.58
11,11140,11140134,202103,W,M,40,T18,7.9,52.63,49.59
11,11140,11140153,202203,H,M,20,T12,6.56,2.4,16.51
11,11560,11560111,202102,W,M,55,T15,79.2,92.22,87.19
11,11560,11560105,202205,H,M,30,T18,268.55,130.83,1932.82
11,11140,11140157,202211,H,M,25,T12,8.03,8.22,50.01
11,11140,11140125,202307,H,M,30,T09,139.09,51.93,165.74
11,11140,11140129,202107,W,M,60,T18,5.84,5.27,9.06
11,11140,11140161,202307,H,F,65,T06,30.06,4.64,21.67
11,11140,11140133,202204,W,F,35,T06,27.77,26.74,14.5
11,11140,11140140,202110,H,M,60,T06,1.89,1.25,2.55
11,11140,11140143,202311,H,F,50,T24,57.12,2.67,7.81
11,11560,11560116,202204,H,F,65,T18,66.13,9.1,22.66
11,11140,11140148,202102,W,F,55,T09,71.33,436.67,163.93
11,11140,11140138,202302,W,F,35,T06,61.28,63.37,60.79
11,11560,11560108,202312,W,M,35,T09,224.19,218.74,274.64
11,11140,11140137,202207,W,M,65,T09,16.97,32.97,62.4
11,11140,11140154,202106,H,F,15,T24,8.58,0.0,3.91
11,11560,11560102,202107,H,F,20,T06,54.63,3.9,60.0
11,11140,11140105,202111,W,M,10,T12,23.97,0.74,30.35
11,11140,11140143,202301,W,F,65,T15,29.92,18.65,13.61
11,11140,11140171,202208,W,F,15,T09,41.02,0.0,95.83
11,11140,11140148,202312,H,M,60,T15,455.64,178.31,652.62
11,11140,11140135,202112,H,F,70,T21,6.92,0.0,1.34
11,11140,11140166,202104,W,F,10,T24,28.73,0.15,4.57
11,11560,11560123,202211,W,M,30,T18,100.32,37.76,54.91
11,11650,11650103,202303,W,F,40,T12,285.16,324.92,110.73
11,11560,11560117,202206,H,M,10,T06,159.37,0.13,24.66
11,11650,11650102,202307,W,M,25,T18,1163.56,671.56,1117.39
11,11560,11560132,202207,W,F,10,T21,4010.29,44.19,944.63
11,11560,11560118,202304,W,F,60,T09,270.9,72.17,90.76
11,11560,11560131,202106,H,F,55,T21,62.2,5.85,20.45
11,11560,11560116,202207,W,M,60,T06,72.73,18.91,74.5
11,11140,11140147,202204,W,F,40,T06,17.76,67.23,34.55
11,11140,11140119,202106,W,M,20,T09,3.49,14.28,23.03
11,11140,11140156,202201,W,M,30,T15,6.83,28.95,88.04
11,11650,11650106,202310,W,M,40,T15,701.11,999.77,1082.15
11,11140,11140123,202311,W,F,40,T24,43.79,1.23,4.97
11,11140,11140138,202110,H,M,25,T21,72.26,13.36,63.05
11,11140,11140128,202210,H,F,55,T06,16.61,3.07,9.72
11,11560,11560132,202212,W,F,20,T21,2224.65,121.38,843.44
11,11140,11140139,202102,H,M,15,T06,10.24,0.0,6.25
11,11140,11140151,202112,H,M,10,T15,7.42,0.06,31.56
11,11140,11140148,202105,H,M,25,T09,104.32,145.49,288.61
11,11140,11140111,202311,W,M,10,T15,304.34,4.32,159.32
